電影名稱,電影海報網址,上或待上映,電影預告網址,影片類型,主要演員,電影介紹,電影時長,電影螢幕
荒野機器人,https://www.ambassador.com.tw/assets/img/movies/THEWILDROBOT_180x270_Poster.jpg,上映日期：2024/10/10,null,影片類型：卡通動畫,主要演員：,改編自彼得布朗備受喜愛及獲獎無數的《紐約時報》暢銷排行榜冠軍小說。簡稱“羅茲”的羅茲森7134號機器人因為船難被困在一座無人荒島，它必須學會適應嚴苛的環境，慢慢和島上的動物建立關係，並且成為一隻失去父母的雛雁的養母。,1時41分,null
與夢前行 宮﨑駿,https://www.ambassador.com.tw/assets/img/movies/HAYAOMIYAZAKIANDTHEHERON_180x270_Poster.jpg,上映日期：2024/10/10,null,影片類型：紀錄片,主要演員：,記載日本傳奇動畫大師宮﨑駿投入動畫界61年的人生點滴，不僅貼身拍攝宮﨑駿創作奧斯卡最佳動畫片《蒼鷺與少年》長達7年的幕後製作秘辛，更讓觀影者深入了解宮﨑駿堅持一輩子的創作理念與獨到的人生哲學，透過穿插吉卜力經典動畫場景及對白做虛實交錯，進入宮﨑駿作品中蘊含的人生智慧格言。,2時0分,null
逃出搶錢鎮,https://www.ambassador.com.tw/assets/img/movies/GREEDYPEOPLE_180x270_Poster.jpg,上映日期：2024/10/10,null,影片類型：劇情,"主要演員：希姆許帕托,喬瑟夫高登李維,莉莉詹姆斯",一部深入探究貪婪與暴力的黑色喜劇。講述一個風景如畫的島嶼小鎮上，形形色色的居民試圖應對一場駭人聽聞的謀殺，和意外尋得的一百萬美金，一連串越來越糟的選擇最終導致了悲劇。,1時52分,null
鬼袋人,https://www.ambassador.com.tw/assets/img/movies/BAGMAN_180x270_Poster.jpg,上映日期：2024/10/10,null,影片類型：驚悚,主要演員：山姆克萊弗林,傳說「鬼袋人」會誘拐無辜的孩子，並把他們塞進自己的袋子裡，這些孩子將永遠消失在人世間。派翠克兒時僥倖躲過「鬼袋人」的魔掌，卻讓他留下長年的心靈創傷。現在，派翠克的兒時夢魘又回來了，並威脅到他妻兒的人身安全……。,null,null
愛殺特攻隊,https://www.ambassador.com.tw/assets/img/movies/KILLINGROMANCE_180x270_Poster.jpg,上映日期：2024/10/10,null,影片類型：喜劇,"主要演員：孔明,李善均,李荷妮",因爛演技而淪為笑柄的大明星如來和財閥喬納森結婚並展開全新的生活，如來也宣布引退。孤單的考生範宇在得知自己最愛的明星如來搬到隔壁成為鄰居後，每天都開心地在頂樓享受粉絲見面會。某天，如來厭倦了當喬納森擴展事業的傀儡，想回歸大銀幕的她向範宇求救，他們一起謀劃了殺人計畫……,1時46分,null
藍色時期,https://www.ambassador.com.tw/assets/img/movies/BluePeriod_180x270_Poster.jpg,上映日期：2024/10/10,null,影片類型：劇情,"主要演員：高橋文哉,真榮田鄉敦",改編自日本漫畫家山口飛翔創作的漫畫作品，高中生矢口八虎是學校的風雲人物，但眾人羨慕的眼光、稱讚的言語始終無法讓他發自內心地快樂。直到某天，他無意間在美術教室看到了一幅出自森學姊的畫作，竟深受感動。在同學龍二的引領下，八虎決定縱身投入繪畫的世界，展開一場藝術與自我的追逐之旅。,1時55分,null
小雁與吳愛麗,https://www.ambassador.com.tw/assets/img/movies/YenandAiLee_180x270_Poster.jpg,上映日期：2024/10/10,null,影片類型：劇情,"主要演員：夏于喬,楊貴媚","小雁與Allie，兩位長相一樣的女人。小雁為了保護母親而過失弒父，被關八年之後，回到小鎮上與母親相依為命。Allie則是在城市裡試圖用表演課面對自己。當兩人的共同秘密被解開後，小雁是否能夠逆轉她與母親注定的悲劇命運？
",1時47分,null
危機航線,https://www.ambassador.com.tw/assets/img/movies/HighForces_180x270_Poster.jpg,上映日期：2024/10/09,null,影片類型：動作,"主要演員：劉德華,屈楚蕭,張子楓,劉濤",國際保鏢高皓軍8年前因一場意外導致女兒小軍失明，前妻傅源因無法原諒丈夫而離婚。一天，傅源和小軍在外地求醫後碰巧和皓軍乘搭上同一班回國的飛機，卻意外地捲入了一場浩劫當中。原來匪徒Mike及其同黨早已策劃了一場持械劫機的計劃，危機一觸即發...,null,null
太陽王與人魚：新帝國,https://www.ambassador.com.tw/assets/img/movies/TheKingsDaughter_180x270_Poster.jpg,上映日期：2024/10/09,null,影片類型：劇情,"主要演員：皮爾斯布洛斯南,卡雅斯考達里奥",法國國王路易十四只有一個平庸的王子繼承他的王位。他意外得知美人魚的力量可以獲得永生，故派出海軍捕獲了一隻人魚並軟禁於凡爾賽宮。 另一方面，路易十四與愛人的私生女瑪麗約西被送入了皇宮，瑪麗約西意外和人魚成為好友，她更打算解救人魚，導致連串一發不可收拾的事態…,null,null
擅長捉弄人的高木同學 電影版,https://www.ambassador.com.tw/assets/img/movies/TeasingMasterTakagisan_180x270_Poster.jpg,上映日期：2024/10/04,null,影片類型：文藝愛情,"主要演員：白鳥玉季,永野芽郁,齋藤潤,高橋文哉",男孩西片時常被坐在他旁邊的女孩高木捉弄，在一次次嘻笑打鬧，兩人度過彼此無可取代的每一天，可是高木要搬家了…。10年後，高木以實習老師的身份回到了島上！西片也作為一名體育老師為生活而努力著。當兩人再次見面時，似乎內心裡悄然地牽起漣漪...。,2時0分,null
再見，福寶,https://www.ambassador.com.tw/assets/img/movies/MyDearestFuBao_180x270_Poster.jpg,上映日期：2024/10/04,null,影片類型：紀錄片,主要演員：,福寶離開韓國的日子已確定了，福寶身邊的人無不感到惋惜。終於迎來離別的瞬間，為了福寶的幸福而努力保持平常心的飼養員「姜寶」姜哲遠和「宋寶」宋永寬，內心也開始動搖……從得知離別之日將到來的每分每秒都真心感到依依不捨的他們，1354個日子以來，未曾揭曉的故事！,null,null
地獄怪客：歪曲人的詛咒,https://www.ambassador.com.tw/assets/img/movies/HELLBOYTheCrookedMan_180x270_Poster.jpg,上映日期：2024/10/04,null,影片類型：動作,"主要演員：莉亞麥克納馬拉,傑佛遜懷特,傑克凱西",1950年代，地獄怪客與一名「超自然調查防禦署」（BPRD）的新進探員意外流落於一座阿帕拉契地區的村莊，這裡的居民飽受女巫肆虐所苦，女巫們的領導者是一個名為「歪曲人」的惡魔，而他似乎跟地獄怪客的過往有某些神秘的關聯……。,null,null
武替道,https://www.ambassador.com.tw/assets/img/movies/Stuntman_180x270_Poster.jpg,上映日期：2024/10/04,null,影片類型：劇情,"主要演員：董瑋,劉俊謙",動作指導李森本已息影多年，因昔日拍檔導演欲完成人生最後一部作品才重出江湖；沉醉電影卻苦無機會的動作演員李世龍，一直在理想與現實邊緣苦苦掙扎。兩代動作演員偶然相遇，一拍即合，決意憑這部「最後之作」令港產動作片再次發光發熱！,1時53分,null
飛鳥總動員,https://www.ambassador.com.tw/assets/img/movies/RICHARDTHESTORKANDTHEMYSTERYOFTHEGR_180x270_Poster.jpg,上映日期：2024/10/04,null,影片類型：卡通動畫,主要演員：,由鸛家族收養的麻雀理查，因觸犯了禁忌而失去了帶領家族返回北方的資格。他決定獨自展開自己的旅程，卻在途中巧遇了薩密雅及她的麻雀夥伴。​邪惡的禿鸛與貪婪孔雀掌控著城市，他們唯一重獲自由的機會，是找到傳說中的「至尊之寶」，理查與麻雀是否能夠找到寶藏，重獲自由呢？,1時24分,null
布勒合唱團：直到盡頭,https://www.ambassador.com.tw/assets/img/movies/blurToTheEnd_180x270_Poster.jpg,上映日期：2024/10/04,null,影片類型：紀錄片,主要演員：,電影捕捉了英搖天團blur驚喜且動人的最新篇章，忠實紀錄樂團帶著睽違八年、廣受好評的冠軍專輯《戴倫之歌》（The Ballad of Darren）榮耀回歸的精彩歷程。電影講述四位合作超過30年的團員，同時也是四個人生摯友：戴蒙、葛拉罕、艾力克斯、戴夫之間獨一無二的友誼。,1時43分,null
